,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
14791,BL,22,Prediction discrepancy; incorrect trajectory estimation of an adjacent vehicle making an illegal left turn crossing into Zoox's lane of traffic.,
14786,BL,22,Planning and prediction discrepancy; incorrect trajectory estimation of and planning for another vehicle making an illegal lane change.,
14790,BL,22,Planning and prediction discrepancy; incorrect trajectory estimation based on cyclist and incorrect planning yield for second adjacent cyclist.,
14799,BL,22,Planning discrepancy; system reacted late to a parked vehicle with a suddenly opened door.,
14782,BL,22,Planning and prediction discrepancy; incorrect trajectory estimation of and planning for another vehicle cutting into Zoox's lane of traffic.,
14797,BL,22,Prediction discrepancy; incorrect trajectory estimation based on another occluded vehicle pulling out of a private driveway without stopping for Zoox's lane of traffic.,
14796,BL,22,Planning discrepancy; system planned incorrect trajectory based on another vehicle slowing to make a right turn.,
14793,BL,22,Perception and prediction discrepancy; incorrect trajectory estimation of another oncoming speeding vehicle behind occlusions moving towards Zoox's lane of traffic.,
14779,BL,22,Planning and prediction discrepancy; incorrect trajectory estimation of and planning for another vehicle preceding out of turn at a stop sign.,
14795,BL,22,Planning and prediction discrepancy; incorrect trajectory estimation of and planning for on a occluded cyclist entering Zoox's lane from a private driveway without stopping for oncoming traffic.,
14784,BL,22,Prediction discrepancy; incorrect trajectory estimation of another vehicle making a lane change from adjacent lane.,
14798,BL,22,Planning discrepancy; system planned incorrect trajectory based on another vehicle that did not appropriately yield at stop sign.,
14789,BL,22,Prediction and planning discrepancy; incorrect trajectory estimation and planning for another vehicle making an illegal maneuver from a left turn only lane.,
14794,BL,22,Planning discrepancy; system planned incorrect trajectory due to another vehicle making a cut-in to Zoox's lane.,
14788,BL,22,Prediction discrepancy; false positive parked vehicle classification of a vehicle that was attempting to pull in front of us from a parking lane.,
14780,BL,22,Planning discrepancy; system planned incorrect trajectory based on another vehicle making an illegal maneuver from a parking lane.,
14785,BL,22,Prediction discrepancy; incorrect trajectory estimation of a parking vehicle.,
14783,BL,22,Prediction discrepancy; incorrect trajectory estimation of another vehicle making a lane cut-in to Zoox's lane of traffic.,
30505,DJ,19,Driver took over to make manual lane change,
30460,DJ,18,Need to manually drive around car stopped in lane,
30530,DJ,19,Driver took over when the car wasn't going through a green light,
30494,DJ,19,Need to manually drive around car stopped in lane,
30474,DJ,18,Vehicle was oscillating back and forth and driver took over,
30524,DJ,19,Need to manually drive around car stopped in lane,
30528,DJ,19,Need to manually drive around car stopped in lane,
30470,DJ,18,Driver took over to ensure vehicle stopped for pedestrians in a crosswalk,
30469,DJ,18,Driver took over to make unprotected left turn,
30450,DJ,18,Car was taking a right turn too tightly and driver took over,
30489,DJ,19,Driver took over to make manual lane change,
30540,DJ,19,Need to manually drive around car stopped in lane,
30438,DJ,18,Driver took over when opposing traffic didn't stop at stop sign,
30443,DJ,18,Car was oscillating back and forth so driver took over,
30482,DJ,19,"Didn't detect traffic light properly, so driver took over",
30463,DJ,18,Need to manually drive around car stopped in lane,
30501,DJ,19,Need to manually drive around car stopped in lane,
30495,DJ,19,Driver manually stopped car because it was deemed to not be stopping fast enough at light,
30475,DJ,18,Stopped to ensure would not hit pedestrian at a stop sign,
30492,DJ,19,Bad localization caused by bad GPS,
16092,BS,21,Vehicle driver took over for safety. Inaccurate lane-keeping due to weak road perception,
16095,BS,21,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning,
16041,BS,11,Vehicle driver took over for safety. Not stopping for stop sign due to inaccurate path planning,
16089,BS,21,Vehicle driver took over for safety. Not stopping for pedestrian due to weak object detection,
16073,BS,21,Vehicle driver took over for safety. Incorrect driving path at intersection due to inaccurate path planning,
16040,BS,11,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning,
16059,BS,11,Vehicle driver took over for safety. Not stopping for red traffic light due to inaccurate path planning,
16068,BS,11,Vehicle driver took over for safety. Not stopping at red traffic light due to incorrect traffic light selection,
16060,BS,11,"Vehicle driver took over for safety. Inaccurate lane-keeping, too close to oncoming car due to inaccurate path planning",
16061,BS,11,Vehicle driver took over for safety. Incorrect swerve for static object due to weak object detection,
16087,BS,21,Vehicle driver took over for safety. Not stopping behind stopped vehicle due to weak object detection,
16080,BS,21,Vehicle driver took over for safety. Not stopping for cyclist due to weak object detection,
16076,BS,21,Vehicle driver took over for safety. Late deceleration for traffic light intersection due to weak road perception,
16037,BS,11,Vehicle driver took over for safety. Not stopping at intersection due to inaccurate path planning,
16051,BS,11,"Vehicle driver took over for safety. Inaccurate lane-keeping, too close to oncoming car due to inaccurate path planning",
16069,BS,11,Vehicle driver took over for safety. Late deceleration at stop sign due to inaccurate path planning,
16100,BS,21,Vehicle driver took over for safety. Late deceleration at stop sign due to inaccurate path planning,
16097,BS,21,Vehicle driver took over for safety. Incorrect swerve for parked vehicle due to weak object detection,
16074,BS,21,Vehicle driver took over for safety. Late deceleration for stop sign due to inaccurate path planning,
16045,BS,11,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning,
